file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-08-27_17-40-16.jpg,precision,0.286,0.000,0.750,0.880,0.873,0.792,YOLOv8x_pre_BB426_SAHI
2022-08-27_17-40-16.jpg,recall,0.076,0.000,0.114,0.278,0.785,0.722,YOLOv8x_BB158_500_t16_b
2022-08-27_17-40-16.jpg,f1score,0.120,0.000,0.198,0.423,0.827,0.755,YOLOv8x_BB158_500_t16_b
2022-08-27_17-40-16.jpg,support,79.000,0.000,79.000,79.000,79.000,79.000,DertResNet50_pre_BB426
2022-08-27_17-40-16.jpg,mAP,0.007,0.000,0.063,0.160,0.521,0.357,YOLOv8x_BB158_500_t16_b
2022-08-27_17-50-16.jpg,accuracy,0.130,0.000,0.162,0.310,0.724,0.623,YOLOv8x_BB158_500_t16_b
2022-08-27_17-50-16.jpg,precision,0.789,0.000,1.000,0.946,0.852,0.810,YOLOv8x_pre_BB426
2022-08-27_17-50-16.jpg,recall,0.135,0.000,0.162,0.315,0.829,0.730,YOLOv8x_BB158_500_t16_b
2022-08-27_17-50-16.jpg,f1score,0.231,0.000,0.279,0.473,0.840,0.768,YOLOv8x_BB158_500_t16_b
2022-08-27_17-50-16.jpg,support,111.000,0.000,111.000,111.000,111.000,111.000,DertResNet50_pre_BB426
2022-08-27_17-50-16.jpg,mAP,0.033,0.000,0.104,0.178,0.585,0.422,YOLOv8x_BB158_500_t16_b
2022-08-28_10-40-16.jpg,accuracy,0.182,0.000,0.273,0.543,0.703,0.667,YOLOv8x_BB158_500_t16_b
2022-08-28_10-40-16.jpg,precision,0.364,0.000,0.750,0.792,0.788,0.800,YOLOv8x_BB426_760_t31_b
2022-08-28_10-40-16.jpg,recall,0.267,0.000,0.300,0.633,0.867,0.800,YOLOv8x_BB158_500_t16_b
2022-08-28_10-40-16.jpg,f1score,0.308,0.000,0.429,0.704,0.825,0.800,YOLOv8x_BB158_500_t16_b
2022-08-28_10-40-16.jpg,support,30.000,0.000,30.000,30.000,30.000,30.000,DertResNet50_pre_BB426
2022-08-28_10-40-16.jpg,mAP,0.078,0.000,0.132,0.310,0.527,0.402,YOLOv8x_BB158_500_t16_b
2022-08-28_11-10-16.jpg,accuracy,0.115,0.000,0.200,0.512,0.744,0.574,YOLOv8x_BB158_500_t16_b
2022-08-28_11-10-16.jpg,precision,0.250,0.000,1.000,0.955,0.914,0.794,YOLOv8x_pre_BB426
2022-08-28_11-10-16.jpg,recall,0.175,0.000,0.200,0.525,0.800,0.675,YOLOv8x_BB158_500_t16_b
2022-08-28_11-10-16.jpg,f1score,0.206,0.000,0.333,0.677,0.853,0.730,YOLOv8x_BB158_500_t16_b
2022-08-28_11-10-16.jpg,support,40.000,0.000,40.000,40.000,40.000,40.000,DertResNet50_pre_BB426
2022-08-28_11-10-16.jpg,mAP,0.032,0.000,0.056,0.253,0.632,0.415,YOLOv8x_BB158_500_t16_b
2022-08-28_11-30-17.jpg,accuracy,0.192,0.000,0.169,0.319,0.740,0.585,YOLOv8x_BB158_500_t16_b
2022-08-28_11-30-17.jpg,precision,0.625,0.000,0.857,0.885,0.877,0.787,YOLOv8x_pre_BB426_SAHI
2022-08-28_11-30-17.jpg,recall,0.217,0.000,0.174,0.333,0.826,0.696,YOLOv8x_BB158_500_t16_b
2022-08-28_11-30-17.jpg,f1score,0.323,0.000,0.289,0.484,0.851,0.738,YOLOv8x_BB158_500_t16_b
2022-08-28_11-30-17.jpg,support,69.000,0.000,69.000,69.000,69.000,69.000,DertResNet50_pre_BB426
2022-08-28_11-30-17.jpg,mAP,0.076,0.000,0.103,0.206,0.553,0.353,YOLOv8x_BB158_500_t16_b
2022-08-28_12-00-15.jpg,accuracy,0.196,0.000,0.180,0.333,0.723,0.629,YOLOv8x_BB158_500_t16_b
2022-08-28_12-00-15.jpg,precision,0.679,0.000,0.941,0.938,0.849,0.795,YOLOv8x_pre_BB426
2022-08-28_12-00-15.jpg,recall,0.216,0.000,0.182,0.341,0.830,0.750,YOLOv8x_BB158_500_t16_b
2022-08-28_12-00-15.jpg,f1score,0.328,0.000,0.305,0.500,0.839,0.772,YOLOv8x_BB158_500_t16_b
2022-08-28_12-00-15.jpg,support,88.000,0.000,88.000,88.000,88.000,88.000,DertResNet50_pre_BB426
