file,DertResNet50,YOLOv8,insightface,SAHI_YOLOv8,YOLOv8x_BB158_500_t16_b
2022-08-29_11-33-48.jpg,0.500,0.500,0.111,0.600,0.889
2022-08-29_12-13-48.jpg,0.273,0.333,0.353,0.684,0.938
2022-08-29_12-26-48.jpg,0.375,0.692,0.500,0.923,0.923
2022-08-29_12-33-47.jpg,0.333,0.391,0.217,0.370,0.864
2022-08-29_12-46-48.jpg,0.359,0.333,0.129,0.486,0.833
2022-08-29_12-53-48.jpg,0.220,0.306,0.189,0.568,0.838
2022-08-29_13-13-48.jpg,0.220,0.364,0.114,0.727,0.867
2022-08-29_13-16-48.jpg,0.217,0.310,0.070,0.545,0.900
2022-08-29_13-33-47.jpg,0.250,0.255,0.136,0.500,0.881
2022-08-29_13-46-47.jpg,0.415,0.447,0.297,0.500,0.795
2022-08-29_13-53-48.jpg,0.229,0.275,0.056,0.538,0.757
2022-08-29_14-06-47.jpg,0.212,0.170,0.109,0.457,0.894
2022-08-29_14-13-48.jpg,0.141,0.120,0.068,0.390,0.716
2022-08-29_14-26-47.jpg,0.358,0.235,0.060,0.440,0.885
2022-08-29_14-33-48.jpg,0.157,0.153,0.029,0.370,0.847
2022-08-29_14-46-47.jpg,0.269,0.194,0.148,0.508,0.873
2022-08-29_14-53-48.jpg,0.181,0.216,0.149,0.438,0.809
2022-08-29_15-06-48.jpg,0.310,0.262,0.238,0.442,0.976
2022-08-29_15-13-47.jpg,0.152,0.161,0.102,0.517,0.859
2022-08-29_15-21-08.jpg,0.375,0.538,0.000,0.786,1.000
2022-08-29_15-33-48.jpg,0.148,0.133,0.048,0.410,0.802
2022-08-29_15-36-47.jpg,0.250,0.273,0.250,0.441,0.900
2022-08-29_15-53-48.jpg,0.113,0.108,0.000,0.313,0.807
2022-08-29_16-13-49.jpg,0.141,0.135,0.070,0.440,0.838
2022-08-29_16-26-47.jpg,0.188,0.225,0.071,0.300,0.732
2022-08-29_16-46-47.jpg,0.262,0.276,0.067,0.567,0.967
2022-08-29_17-03-48.jpg,0.188,0.293,0.095,0.535,0.725
2022-08-29_17-06-47.jpg,0.317,0.355,0.138,0.645,0.933
2022-08-29_17-23-48.jpg,0.333,0.452,0.172,0.548,0.818
2022-08-29_17-36-47.jpg,0.343,0.500,0.136,0.783,0.955
2022-08-29_18-03-48.jpg,0.302,0.360,0.306,0.686,0.769
2022-08-29_18-33-47.jpg,0.283,0.340,0.125,0.500,0.673
2022-08-30_13-40-16.jpg,0.205,0.154,0.053,0.425,0.585
2022-08-31_09-50-16.jpg,0.667,0.667,1.000,0.667,0.667
2022-09-02_13-50-14.jpg,0.129,0.141,0.085,0.312,0.709
2022-09-02_15-00-16.jpg,0.417,0.833,0.167,1.000,0.750
2022-09-02_15-50-16.jpg,0.160,0.160,0.074,0.296,0.595
2022-09-02_16-30-16.jpg,0.300,0.667,0.000,0.667,0.833
2022-09-02_17-20-16.jpg,0.131,0.171,0.043,0.250,0.573
2022-09-02_18-30-16.jpg,0.316,0.289,0.170,0.500,0.660
2022-09-04_14-43-18.jpg,0.462,0.600,0.300,0.727,0.692
2022-09-04_15-31-23.jpg,0.267,0.268,0.107,0.474,0.746
2022-09-05_17-50-16.jpg,0.349,0.459,0.216,0.641,0.818
2022-09-06_15-40-16.jpg,0.303,0.381,0.158,0.737,0.739
2022-09-07_15-26-00.jpg,0.375,0.273,0.087,0.500,0.667
2022-09-07_17-45-59.jpg,0.200,0.222,0.000,0.545,0.700
2022-09-08_08-50-16.jpg,1.000,1.000,1.000,1.000,1.000
2022-09-08_13-40-17.jpg,0.231,0.200,0.040,0.458,0.800
2022-09-08_15-00-15.jpg,0.115,0.161,0.062,0.371,0.611
2022-09-09_11-10-16.jpg,0.333,0.385,0.231,0.667,0.714
2022-09-09_12-00-15.jpg,0.400,0.500,0.000,1.000,0.200
2022-09-09_12-30-16.jpg,0.143,0.130,0.048,0.250,0.682
2022-09-09_12-50-15.jpg,0.250,0.182,0.143,0.500,0.560
2022-09-09_16-40-16.jpg,0.216,0.040,0.000,0.480,0.643
2022-09-10_14-41-54.jpg,0.278,0.600,0.444,0.727,0.900
2022-09-10_17-57-26.jpg,0.081,0.127,0.000,0.263,0.473
2022-09-10_18-17-26.jpg,0.106,0.115,0.080,0.314,0.611
2022-09-11_12-00-16.jpg,0.279,0.345,0.143,0.607,0.774
2022-09-11_12-40-15.jpg,0.184,0.381,0.095,0.714,0.607
2022-09-11_14-20-16.jpg,0.375,0.538,0.083,0.643,0.769
2022-09-11_15-10-15.jpg,0.185,0.167,0.000,0.396,0.784
2022-09-11_18-30-16.jpg,0.312,0.316,0.105,0.842,0.727
2022-09-13_08-00-16.jpg,0.000,0.500,0.000,0.500,0.400
2022-09-13_13-35-37.jpg,0.333,1.000,0.000,1.000,1.000
2022-09-13_14-44-11.jpg,0.263,0.400,0.200,0.471,0.556
2022-09-13_18-24-10.jpg,0.368,0.444,0.222,0.889,0.800
2022-09-14_16-50-16.jpg,0.263,0.500,0.455,0.357,0.467
2022-09-17_16-10-16.jpg,0.212,0.185,0.093,0.333,0.609
2022-09-18_18-30-15.jpg,0.400,0.308,0.167,0.846,0.917
2022-09-19_17-33-01.jpg,0.500,0.750,0.083,0.846,1.000
2022-09-19_18-03-10.jpg,0.393,0.412,0.294,0.706,0.941
2022-09-22_13-23-02.jpg,0.545,0.667,0.667,0.750,0.857
2022-09-22_17-23-02.jpg,0.667,0.667,1.000,0.667,0.400
2022-09-24_14-00-16.jpg,0.207,0.286,0.077,0.643,0.846
2022-09-25_14-45-16.jpg,1.000,1.000,1.000,1.000,0.400
2022-09-28_11-50-16.jpg,0.417,0.714,0.286,0.556,0.667
2022-09-29_08-00-15.jpg,0.400,0.000,0.000,0.667,0.055
2022-09-29_12-40-15.jpg,0.167,0.667,0.200,0.833,0.833
2022-09-29_17-40-16.jpg,0.667,0.800,0.500,0.833,0.833
2022-09-30_07-50-16.jpg,0.222,0.286,0.000,0.714,0.357
2022-09-30_10-30-16.jpg,0.040,0.273,0.000,0.400,0.208
2022-10-01_07-10-15.jpg,0.600,0.750,0.000,0.750,0.200
2022-10-01_07-30-16.jpg,0.357,0.429,0.000,0.625,0.455
2022-10-01_07-50-16.jpg,0.308,0.571,0.400,0.714,0.714
2022-10-01_14-04-53.jpg,0.222,0.400,0.000,0.600,0.273
2022-10-02_07-30-15.jpg,0.400,0.400,0.000,0.800,0.571
2022-10-02_09-40-16.jpg,0.000,0.286,0.000,0.857,0.250
2022-10-03_17-50-15.jpg,0.000,0.000,0.000,0.000,0.100
2022-10-05_07-50-16.jpg,0.286,0.125,0.000,0.375,0.571
2022-10-05_10-10-16.jpg,0.375,0.400,0.500,0.800,0.571
2022-10-05_15-50-16.jpg,0.417,0.417,0.364,0.385,0.600
2022-10-07_09-40-15.jpg,0.500,1.000,0.750,0.667,0.667
2022-10-07_18-04-13.jpg,0.467,0.600,0.600,0.750,0.667
2022-10-07_18-04-49.jpg,0.211,0.286,0.182,0.750,0.462
2022-10-07_18-24-13.jpg,1.000,1.000,1.000,0.750,0.750
2022-10-10_08-30-15.jpg,0.462,0.500,0.000,0.727,1.000
2022-10-14_15-40-16.jpg,0.250,0.429,0.500,0.500,0.444
2022-10-14_18-20-15.jpg,0.409,0.400,0.000,0.647,0.611
2022-10-21_10-00-16.jpg,0.214,0.500,0.000,0.667,0.800
2022-10-23_10-50-16.jpg,0.278,0.600,0.200,0.727,0.800
2022-10-24_17-30-16.jpg,0.333,0.444,0.250,0.800,0.667
2022-10-25_18-13-51.jpg,0.125,0.667,0.000,0.500,0.429
2022-10-25_18-33-52.jpg,0.667,0.667,0.667,0.667,0.750
